Ticker,Name,Market_Cap,Volume,Beta,Daily Volatility,Latest Share Price,Insiders_Buying,Institutions_Buying,Stage,Sector,Industry,Drug_Name,FDA-Approved_Drug/Drugs,FDA_Fast_Track_Designations,Catalysts_Date,Partners,Space,Competitors,Cash_Runway,Last_Earnings_Date,Last_Earnings_Result,Next_Earnings_Date,Rating,SA_Rating,Country,Comments
ABCL,AbCellera Biologics Inc.,730M,1.5M,2.13,2.5% - 7%,$2.49 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,ABCL-001 ABCL-002,None,None,Phase 1 Data Readout Q4 2025,Lilly (LLY) Pfizer (PFE),Antibody Discovery,Amgen (AMGN) Regeneron (REGN),24 months,May 7 2025,EPS -0.14 -6% Miss Revenue 9.8M -10% Miss,Aug 5 2025 (est.),6 (B),HOLD,Canada,Trading below cash value; strong partnerships; pipeline advancing but revenue growth limited[](https://x.com/Hedgebullish/status/1932116713451209027)[](https://x.com/brooks_david3/status/1930461578958106742)[](https://x.com/GVDInvestor/status/1932436001764339801)
ABEO,Abeona Therapeutics Inc.,210M,350K,1.89,3% - 8%,$5.12 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,EB-101 Pz-cel,None,Pz-cel Fast Track 2019,Phase 3 Data Readout Q2 2026,None,Gene Therapy,Krystal Biotech (KRYS),18 months,May 6 2025,EPS -0.45 -8% Miss Revenue 0.3M -20% Miss,Aug 4 2025 (est.),5 (B-),HOLD,USA,Limited revenue; cash runway constrained; EB-101 pivotal data critical
ABSI,Absci Corporation,450M,900K,2.45,3.5% - 9%,$4.85 - 01:30 PM EDT 06/10/2025,No,Increase,Pre-Clinical,Healthcare,Biotechnology,ABSI-101,None,None,None,AstraZeneca (AZN) Merck (MRK),AI-Driven Drug Discovery,Schrodinger (SDGR) Recursion (RXRX),20 months,May 8 2025,EPS -0.22 -5% Miss Revenue 1.8M +10% Beat,Aug 6 2025 (est.),7 (B+),BUY,USA,AI-driven platform gaining traction; early-stage pipeline; partnerships strong
ABUS,Arbutus Biopharma Corporation,650M,1.2M,1.95,2.8% - 7.5%,$3.45 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Imdusiran,None,None,Phase 2 Data Readout Q3 2026,None,HBV Therapy,Gilead (GILD) Moderna (MRNA),15 months,May 2 2025,EPS -0.12 -10% Miss Revenue 1.5M -15% Miss,Jul 31 2025 (est.),6 (B),HOLD,Canada,HBV focus; limited near-term catalysts; cash runway tight
ACAD,ACADIA Pharmaceuticals Inc.,2.8B,1.1M,1.34,2% - 6%,$15.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,NUPLAZID DAYBUE,NUPLAZID Apr 2016 DAYBUE Mar 2023,NUPLAZID Fast Track 2014,Phase 3 Data Readout ACP-101 Q1 2026,None,CNS Disorders,Eisai (ESALY) Biogen (BIIB),30 months,May 8 2025,EPS 0.10 +15% Beat Revenue 205.8M +8% Beat,Aug 6 2025 (est.),8 (A-),BUY,USA,Strong commercial traction with DAYBUE; pipeline expansion promising
ACET,Adicet Bio Inc.,150M,400K,1.78,3.2% - 8.5%,$1.40 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,ADI-001,None,None,Phase 1 Data Readout Q4 2025,Regeneron (REGN),Cell Therapy,Allogene (ALLO) Fate Therapeutics (FATE),12 months,May 7 2025,EPS -0.36 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk cell therapy; limited cash runway; early-stage pipeline
ACLX,Arcellx Inc.,1.9B,500K,1.65,2.5% - 7%,$55.30 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Anito-cel,None,Anito-cel Fast Track 2023,Phase 2 Data Readout Q3 2026,Kite/Gilead (GILD),Cell Therapy,Allogene (ALLO) Caribou (CRBU),24 months,May 9 2025,EPS -0.50 -5% Miss Revenue 21.3M +12% Beat,Aug 7 2025 (est.),7 (B+),BUY,USA,Promising cell therapy pipeline; strong partnership with Gilead
ACRS,Aclaris Therapeutics Inc.,90M,600K,1.92,3% - 8%,$1.15 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,ATI-1777,None,None,Phase 2b Data Readout Q2 2026,None,Dermatology,Incyte (INCY) Dermavant,12 months,May 7 2025,EPS -0.15 -10% Miss Revenue 2.4M -8% Miss,Aug 5 2025 (est.),5 (B-),HOLD,USA,Small-cap dermatology focus; limited cash runway; pipeline early-stage
ADAP,Adaptimmune Therapeutics plc,200M,800K,2.01,3.5% - 9%,$0.85 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Aficamten,None,Aficamten Fast Track 2022,Phase 3 Data Readout Q4 2026,GSK (GSK),T-Cell Therapy,Immunocore (IMCR) TCR2,15 months,May 8 2025,EPS -0.18 -15% Miss Revenue 5.9M -10% Miss,Aug 6 2025 (est.),6 (B),HOLD,UK,High-risk T-cell therapy; cash runway constrained; GSK partnership key
ADPT,Adaptive Biotechnologies Corp.,650M,700K,1.87,2.8% - 7.5%,$3.60 - 01:30 PM EDT 06/10/2025,No,Stable,Commercial,Healthcare,Biotechnology,clonoSEQ,clonoSEQ Sep 2018,None,New Indication Data Q3 2025,Genentech (RHHBY),Immunosequencing,Illumina (ILMN) 10x Genomics (TXG),18 months,May 7 2025,EPS -0.34 -8% Miss Revenue 41.5M +5% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,clonoSEQ commercialized; diagnostic focus; stable but slow growth
ADMA,ADMA Biologics Inc.,1.2B,2.5M,1.45,2% - 6%,$10.80 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,ASCENIV BIVIGAM,ASCENIV Apr 2019 BIVIGAM Oct 2019,None,None,None,Immunology,CSL Behring (CSLLY) Grifols (GRFS),36 months,May 9 2025,EPS 0.08 +20% Beat Revenue 81.9M +10% Beat,Aug 7 2025 (est.),8 (A-),BUY,USA,Strong commercial growth; expanding manufacturing capacity; financially stable
AGEN,Agenus Inc.,250M,1.8M,1.98,3.5% - 9%,$0.65 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Botensilimab,None,None,Phase 2 Data Readout Q1 2026,BMS (BMY) Merck (MRK),Immuno-Oncology,Incyte (INCY) Regeneron (REGN),12 months,May 7 2025,EPS -0.22 -18% Miss Revenue 37.2M -5% Miss,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk immuno-oncology; cash runway tight; pipeline speculative
AGIO,Agios Pharmaceuticals Inc.,2.4B,600K,1.76,2.5% - 7%,$43.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,PYRUKYND,PYRUKYND Feb 2022,PYRUKYND Fast Track 2020,Phase 3 Data Readout Q2 2026,Servier,Oncology,Servier Bristol Myers (BMY),24 months,May 2 2025,EPS -1.65 -10% Miss Revenue 8.2M +15% Beat,Jul 31 2025 (est.),7 (B+),BUY,USA,PYRUKYND commercialized; pipeline advancing; stable cash position
ALDX,Aldeyra Therapeutics Inc.,350M,400K,1.92,3% - 8%,$3.90 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Reproxalap,None,Reproxalap Fast Track 2019,Phase 3 Data Readout Q4 2025,None,Ophthalmology,Allergan (ABBV) Bausch (BHC),18 months,May 7 2025,EPS -0.28 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Ophthalmology focus; reproxalap pivotal data key; cash runway limited
ALEC,Alector Inc.,450M,500K,1.67,2.8% - 7.5%,$5.10 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Latozinemab,None,Latozinemab Fast Track 2023,Phase 3 Data Readout Q3 2026,GSK (GSK),Neurodegenerative Diseases,Denali (DNLI) Biogen (BIIB),20 months,May 8 2025,EPS -0.45 -10% Miss Revenue 15.1M -8% Miss,Aug 6 2025 (est.),6 (B),HOLD,USA,Neuro focus; GSK partnership; early-stage pipeline
ALLO,Allogene Therapeutics Inc.,400M,900K,1.88,3.2% - 8.5%,$2.70 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Cema-cel,None,Cema-cel Fast Track 2022,Phase 2 Data Readout Q4 2026,Pfizer (PFE),Cell Therapy,Arcellx (ACLX) Kite/Gilead (GILD),18 months,May 7 2025,EPS -0.38 -7% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Allogeneic cell therapy; high-risk; Pfizer partnership key
ALNY,Alnylam Pharmaceuticals Inc.,19.5B,700K,1.23,2% - 5.5%,$152.30 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,AMVUTTRA Givlaari Oxlumo,AMVUTTRA Jun 2022 Givlaari Nov 2019 Oxlumo Nov 2020,AMVUTTRA Fast Track 2021,Phase 3 Data Readout Vutrisiran Q1 2026,Regeneron (REGN) Sanofi (SNY),RNAi Therapeutics,Arrowhead (ARWR) Ionis (IONS),36 months,May 2 2025,EPS -0.75 +5% Beat Revenue 494.7M +12% Beat,Jul 31 2025 (est.),9 (A),STRONG BUY,USA,Strong RNAi portfolio; multiple approved drugs; robust pipeline[](https://www.biopharmcatalyst.com/news/2020/argenx-argx-shares-rally-on-positive-late-stage-data-34-alnylam-alny-lumasiran-pdufa-set-for-december)
AMRX,Amneal Pharmaceuticals Inc.,2.1B,1.3M,1.45,2% - 6%,$6.95 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Pharmaceuticals,Generic Drugs,N/A,N/A,N/A,Fosun Pharma,Generics,Teva (TEVA) Viatris (VTRS),N/A,May 8 2025,EPS 0.14 +10% Beat Revenue 659.2M +8% Beat,Aug 6 2025 (est.),7 (B+),BUY,USA,Stable generics business; limited innovation; financially sound
AKRO,Akero Therapeutics Inc.,1.8B,800K,1.78,2.8% - 7.5%,$24.50 - 01:30 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,EFX,None,EFX Fast Track 2020,Phase 3 Data Readout Q4 2026,None,NASH,Madrigal (MDGL) Intercept (ICPT),24 months,May 7 2025,EPS -0.85 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,NASH focus; EFX pivotal data critical; strong cash position
ANAB,AnaptysBio Inc.,650M,300K,1.65,2.5% - 7%,$24.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,Rosnilimab,None,None,Phase 2 Data Readout Q2 2026,GSK (GSK),Immunology,Regeneron (REGN) Amgen (AMGN),18 months,May 9 2025,EPS -1.60 -15% Miss Revenue 10.4M -10% Miss,Aug 7 2025 (est.),6 (B),HOLD,USA,Immunology pipeline; GSK partnership; moderate risk
ANVS,Annovis Bio Inc.,120M,1.2M,2.10,4% - 10%,$6.50 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Buntanetap,None,Buntanetap Fast Track 2023,Phase 3 Data Readout Q3 2026,None,Neurodegenerative Diseases,Alector (ALEC) Denali (DNLI),12 months,May 7 2025,EPS -0.95 -20% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk neuro focus; limited cash runway; early-stage pipeline[](https://finance.yahoo.com/quote/ANVS/)
APLS,Apellis Pharmaceuticals Inc.,4.8B,1.1M,1.54,2% - 6%,$40.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,SYOVRE Empaveli,SYOVRE Feb 2023 Empaveli May 2021,SYOVRE Fast Track 2022,Phase 3 Data Readout Q1 2026,Swedish Orphan (SOBI),Ophthalmology,Regeneron (REGN) Roche (RHHBY),30 months,May 7 2025,EPS -0.55 +8% Beat Revenue 162.5M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Strong commercial traction with SYOVRE; pipeline expanding
ARCT,Arbutus Biopharma Corp.,450M,600K,1.92,3% - 8%,$3.10 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,ARCT-810,None,None,Phase 2 Data Readout Q4 2026,None,RNA Therapeutics,Alnylam (ALNY) Moderna (MRNA),18 months,May 8 2025,EPS -0.40 -10% Miss Revenue 2.1M -12% Miss,Aug 6 2025 (est.),6 (B),HOLD,USA,RNAi focus; early-stage pipeline; moderate risk
ARDX,Ardelyx Inc.,750M,2.8M,1.87,3.2% - 8.5%,$6.35 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,IBSRELA XPHOZAH,IBSRELA Apr 2022 XPHOZAH Oct 2023,IBSRELA Fast Track 2021,Phase 4 Data Readout Q3 2026,Kyowa Kirin,GI Disorders,Salix Ironwood (IRWD),24 months,May 2 2025,EPS -0.09 +12% Beat Revenue 46.0M +15% Beat,Jul 31 2025 (est.),8 (A-),BUY,USA,Strong commercial growth; IBSRELA sales ramping; stable finances[](https://www.biopharmcatalyst.com/company/ARDX)
ARGX,argenx SE,12.5B,300K,1.12,1.8% - 5%,$445.50 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,VYVGART,VYVGART Jun 2021,VYVGART Fast Track 2020,Phase 3 Data Readout Efgartigimod Q2 2026,Janssen (JNJ) Zai Lab,Immunology,Amgen (AMGN) Regeneron (REGN),36 months,May 9 2025,EPS -1.05 +10% Beat Revenue 412.3M +12% Beat,Aug 7 2025 (est.),9 (A),STRONG BUY,Netherlands,VYVGART strong commercial success; robust pipeline; financially stable[](https://www.biopharmcatalyst.com/news/2020/argenx-argx-shares-rally-on-positive-late-stage-data-34-alnylam-alny-lumasiran-pdufa-set-for-december)
ARMP,Armata Pharmaceuticals Inc.,75M,50K,1.92,3.5% - 9%,$2.80 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,AP-PA02,None,None,Phase 2 Data Readout Q3 2026,None,Bacteriophage Therapy,ContraFect (CFRX),12 months,May 7 2025,EPS -0.45 -15% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),HOLD,USA,Small-cap bacteriophage focus; limited cash runway; high-risk pipeline
ARQT,Arcutis Biotherapeutics Inc.,650M,1.6M,1.78,2.8% - 7.5%,$8.90 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,ZORYVE,ZORYVE Jul 2022,None,Phase 4 Data Readout Q2 2026,None,Dermatology,Incyte (INCY) Dermavant,24 months,May 8 2025,EPS -0.55 +10% Beat Revenue 21.6M +12% Beat,Aug 6 2025 (est.),7 (B+),BUY,USA,ZORYVE commercial traction; expanding indications; stable finances[](https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-arqt/arcutis-biotherapeutics/valuation)
ARVN,Arvinas Inc.,1.4B,700K,1.87,2.5% - 7%,$26.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,ARV-110,None,None,Phase 2 Data Readout Q4 2025,Pfizer (PFE),PROTAC Technology,Amgen (AMGN) Kymera (KYMR),18 months,May 7 2025,EPS -0.95 -10% Miss Revenue 25.3M +8% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,PROTAC platform innovative; early-stage pipeline; Pfizer partnership key
ASMB,Assembly Biosciences Inc.,90M,30K,1.65,3% - 8%,$14.20 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,ABI-4334,None,None,Phase 1b Data Readout Q3 2026,Gilead (GILD),HBV Therapy,Arbutus (ABUS) Gilead (GILD),12 months,May 8 2025,EPS -0.35 -12% Miss Revenue 6.2M -5% Miss,Aug 6 2025 (est.),5 (B-),SELL,USA,HBV focus; limited cash runway; high-risk early-stage pipeline
ASND,Ascendis Pharma A/S,4.8B,300K,1.45,2% - 6%,$135.40 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,SKYTROFA YORVIPATH,SKYTROFA Aug 2021 YORVIPATH Aug 2024,SKYTROFA Fast Track 2020,Phase 3 Data Readout TransCon CNP Q1 2026,None,Endocrinology,Novo Nordisk (NVO) Pfizer (PFE),30 months,May 2 2025,EPS -1.35 +8% Beat Revenue 95.4M +10% Beat,Jul 31 2025 (est.),8 (A-),BUY,Denmark,Strong commercial portfolio; TransCon platform promising; financially stable
ATHA,Athira Pharma Inc.,100M,200K,1.92,3.5% - 9%,$2.60 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Fosgonimeton,None,None,Phase 2/3 Data Readout Q4 2025,None,Neurodegenerative Diseases,Alector (ALEC) Annovis (ANVS),12 months,May 7 2025,EPS -0.65 -15% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk neuro focus; limited cash runway; pivotal data critical
ATXS,Astria Therapeutics Inc.,350M,400K,1.76,2.8% - 7.5%,$9.80 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,STAR-0215,None,STAR-0215 Fast Track 2023,Phase 1b Data Readout Q2 2026,None,Hereditary Angioedema,Takeda (TAK) CSL Behring,18 months,May 9 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 7 2025 (est.),6 (B),HOLD,USA,Early-stage HAE focus; moderate risk; cash runway sufficient
ATYR,aTyr Pharma Inc.,150M,250K,1.87,3% - 8%,$1.95 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,ATYR1923,None,None,Phase 2 Data Readout Q3 2026,None,Pulmonary Sarcoidosis,Keros (KROS),12 months,May 7 2025,EPS -0.25 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),SELL,USA,Small-cap pulmonary focus; limited cash runway; high-risk pipeline
AURA,Aura Biosciences Inc.,300M,200K,1.65,2.5% - 7%,$7.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Bel-sar,None,Bel-sar Fast Track 2022,Phase 3 Data Readout Q4 2026,None,Ocular Oncology,Immunocore (IMCR),18 months,May 8 2025,EPS -0.50 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Ocular oncology niche; early-stage pipeline; moderate risk
AUPH,Aurinia Pharmaceuticals Inc.,900M,1.4M,1.54,2% - 6%,$6.20 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,LUPKYNIS,LUPKYNIS Jan 2021,LUPKYNIS Fast Track 2020,Phase 4 Data Readout Q3 2026,Otsuka,Lupus Nephritis,GSK (GSK) Calliditas (CALT),24 months,May 2 2025,EPS -0.15 +12% Beat Revenue 50.3M +10% Beat,Jul 31 2025 (est.),7 (B+),BUY,Canada,LUPKYNIS commercial success; stable finances; expanding indications
AVIR,Atea Pharmaceuticals Inc.,350M,600K,1.78,2.8% - 7.5%,$4.10 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Bemnifosbuvir,None,None,Phase 3 Data Readout Q2 2026,Roche (RHHBY),Antiviral Therapy,Gilead (GILD) Merck (MRK),18 months,May 7 2025,EPS -0.55 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Antiviral focus; early-stage pipeline; Roche partnership key
AVXL,Anavex Life Sciences Corp.,450M,1.1M,1.92,3.2% - 8.5%,$5.40 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Blarcamesine,None,Blarcamesine Fast Track 2021,Phase 3 Data Readout Q1 2026,None,Neurodegenerative Diseases,Biogen (BIIB) Alector (ALEC),15 months,May 8 2025,EPS -0.15 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Neuro focus; high-risk pipeline; pivotal data critical
AXSM,Axsome Therapeutics Inc.,3.8B,800K,1.65,2% - 6%,$85.60 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,AUVELITY SUNOSI,AUVELITY Aug 2022 SUNOSI Jun 2019,AUVELITY Fast Track 2021,Phase 3 Data Readout AXS-12 Q4 2025,Pfizer (PFE),CNS Disorders,Jazz (JАЗZ) Alkermes (ALKS),30 months,May 7 2025,EPS -1.25 +10% Beat Revenue 74.8M +12% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Strong commercial traction; AUVELITY sales growing; robust pipeline
BBIO,BridgeBio Pharma Inc.,2.9B,1.3M,1.76,2.5% - 7%,$26.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Acoramidis,None,Acoramidis Fast Track 2023,Phase 3 Data Readout Q1 2026,BMS (BMY),Cardiomyopathy,Alnylam (ALNY) Pfizer (PFE),24 months,May 9 2025,EPS -0.95 -10% Miss Revenue 20.5M +8% Beat,Aug 7 2025 (est.),7 (B+),BUY,USA,Promising cardiomyopathy pipeline; strong partnerships; stable finances
BCAX,Bicara Therapeutics Inc.,700M,400K,1.54,2.8% - 7.5%,$18.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Ficzeranib,None,None,Phase 2 Data Readout Q3 2026,None,Head and Neck Cancer,Incyte (INCY) Merck (MRK),20 months,May 8 2025,EPS -0.40 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Early-stage oncology focus; moderate risk; cash runway sufficient
BCRX,BioCryst Pharmaceuticals Inc.,1.5B,2.5M,1.87,2.5% - 7%,$7.90 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,ORLADEYO,ORLADEYO Dec 2020,ORLADEYO Fast Track 2020,Phase 3 Data Readout Avoralstat Q2 2026,None,Hereditary Angioedema,Astria (ATXS) Takeda (TAK),24 months,May 7 2025,EPS -0.20 +8% Beat Revenue 92.4M +10% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,ORLADEYO commercial success; pipeline advancing; stable finances
BEAM,Beam Therapeutics Inc.,1.7B,900K,1.92,3% - 8%,$24.30 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,BEAM-101,None,BEAM-101 Fast Track 2022,Phase 1 Data Readout Q4 2025,Pfizer (PFE) Verve (VERV),Gene Editing,CRISPR (CRSP) Intellia (NTLA),18 months,May 7 2025,EPS -1.05 -10% Miss Revenue 10.2M -5% Miss,Aug 5 2025 (est.),6 (B),HOLD,USA,Gene editing platform; early-stage pipeline; strong partnerships
BIIB,Biogen Inc.,27.5B,1.2M,1.23,1.8% - 5%,$190.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,SPINRAZA LEQEMBI,SPINRAZA Dec 2016 LEQEMBI Jan 2023,LEQEMBI Fast Track 2022,Phase 3 Data Readout Q1 2026,Eisai (ESALY),Neurodegenerative Diseases,Eli Lilly (LLY) Roche (RHHBY),N/A,May 2 2025,EPS 3.85 +15% Beat Revenue 2.4B +5% Beat,Jul 31 2025 (est.),8 (A-),BUY,USA,Established neuro portfolio; LEQEMBI sales growing; financially stable
