Ticker,Name,Market_Cap,Volume,Beta,Daily Volatility,Latest Share Price,Insiders_Buying,Institutions_Buying,Stage,Sector,Industry,Drug_Name,FDA-Approved_Drug/Drugs,FDA_Fast_Track_Designations,Catalysts_Date,Partners,Space,Competitors,Cash_Runway,Last_Earnings_Date,Last_Earnings_Result,Next_Earnings_Date,Rating,SA_Rating,Country,Comments
EXAI,Exscientia plc,650M,400K,1.54,2.5% - 7%,$5.20 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,EXS-21546,None,None,Phase 1 Data Readout Q3 2026,BMS (BMY) Sanofi (SNY),AI-Driven Drug Discovery,Absci (ABSI) Recursion (RXRX),18 months,May 7 2025,EPS -0.40 -10% Miss Revenue 10.5M -5% Miss,Aug 5 2025 (est.),6 (B),HOLD,UK,AI-driven platform; early-stage pipeline; strong partnerships
EXEL,Exelixis Inc.,6.2B,1.8M,1.34,1.8% - 5%,$26.80 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Cabometyx Cometriq,Cabometyx Apr 2016 Cometriq Nov 2012,Cabometyx Fast Track 2015,Phase 3 Data Readout Zanzalintinib Q1 2026,BMS (BMY) Roche (RHHBY),Oncology,Amgen (AMGN) Pfizer (PFE),N/A,May 7 2025,EPS 0.35 +15% Beat Revenue 425.2M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Cabometyx strong commercial performance; robust pipeline
EYEN,Eyenovia Inc.,80M,600K,2.01,3.5% - 9%,$0.90 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Mydcombi,Mydcombi May 2023,Mydcombi Fast Track 2022,Commercial Expansion Q4 2025,Arctic Vision,Ophthalmology,Apellis (APLS) Bausch (BHC),12 months,May 8 2025,EPS -0.20 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),HOLD,USA,Mydcombi approved; commercial ramp-up critical; limited cash runway
EYPT,EyePoint Pharmaceuticals Inc.,450M,500K,1.76,2.8% - 7.5%,$9.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,YUTIQ,YUTIQ Oct 2018,YUTIQ Fast Track 2018,Phase 3 Data Readout EYP-1901 Q4 2025,None,Ophthalmology,Regeneron (REGN) Apellis (APLS),18 months,May 7 2025,EPS -0.35 -8% Miss Revenue 11.8M +10% Beat,Aug 5 2025 (est.),6 (B),BUY,USA,YUTIQ commercialized; EYP-1901 data key; moderate cash runway
FDMT,4D Molecular Therapeutics Inc.,650M,400K,1.87,3% - 8%,$14.20 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,4D-150,None,4D-150 Fast Track 2023,Phase 2 Data Readout Q3 2026,UniQure (QURE),Gene Therapy,Abeona (ABEO) Krystal (KRYS),20 months,May 8 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Gene therapy focus; early-stage pipeline; stable cash position
FGEN,FibroGen Inc.,90M,1.2M,2.10,3.5% - 9%,$0.95 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Pamrevlumab,None,None,Phase 3 Data Readout Q4 2025,AstraZeneca (AZN),Fibrosis,Akero (AKRO) 89bio (ETNB),12 months,May 7 2025,EPS -0.30 -12% Miss Revenue 36.4M -5% Miss,Aug 5 2025 (est.),5 (B-),SELL,USA,High-risk fibrosis focus; limited cash runway; pivotal data critical
FOLD,Amicus Therapeutics Inc.,2.8B,1.4M,1.45,2% - 6%,$10.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Galafold Pombiliti,Galafold Aug 2018 Pombiliti Sep 2023,Galafold Fast Track 2017,Phase 4 Data Readout Q3 2026,None,Rare Diseases,BioMarin (BMRN) Ultragenyx (RARE),N/A,May 8 2025,EPS -0.05 +12% Beat Revenue 110.5M +10% Beat,Aug 6 2025 (est.),8 (A-),BUY,USA,Strong rare disease portfolio; Galafold sales robust; financially stable
FTRE,Fortrea Holdings Inc.,2.2B,900K,1.34,1.8% - 5%,$24.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,CRO,N/A,N/A,N/A,N/A,None,Clinical Research Services,Labcorp (LH) IQVIA (IQV),N/A,May 7 2025,EPS 0.25 +10% Beat Revenue 775.3M +8% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,CRO services stable; strong client base; financially sound
FULC,Fulcrum Therapeutics Inc.,350M,600K,1.92,3% - 8%,$6.80 - 01:30 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,Losmapimod,None,Losmapimod Fast Track 2021,Phase 3 Data Readout Q4 2025,None,Rare Diseases,Amicus (FOLD) BioMarin (BMRN),18 months,May 8 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),BUY,USA,Rare disease focus; losmapimod pivotal data key; stable cash position
GERN,Geron Corporation,2.1B,2.5M,1.76,2.8% - 7.5%,$4.50 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Rytelo,Rytelo Jun 2024,Rytelo Fast Track 2023,Commercial Expansion Q4 2025,None,Hematology,Jazz (JAZZ) Amgen (AMGN),24 months,May 7 2025,EPS -0.10 +8% Beat Revenue 0.3M +10% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Rytelo recently approved; commercial ramp-up critical; stable finances
GILD,Gilead Sciences Inc.,138.5B,6.2M,1.34,1.8% - 5%,$110.75 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,Biktarvy Yescarta Trodelvy,Biktarvy Feb 2018 Yescarta Oct 2017 Trodelvy Apr 2020,Biktarvy Fast Track 2017,Phase 3 Data Readout GS-1427 Q1 2026,Arcus Biosciences Merck (MRK) Arcellx (ACLX),HIV Oncology,Amgen (AMGN) Pfizer (PFE),N/A,May 7 2025,EPS 1.85 +15% Beat Revenue 6.7B +8% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Strong HIV and oncology portfolio; robust commercial revenue; recent FDA trial halts a concern[](https://www.tradingview.com/symbols/NASDAQ-GILD/)
GLPG,Galapagos NV,1.2B,200K,1.45,2% - 6%,$27.50 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,JYSELECA,JYSELECA (EU Approved 2020),None,Phase 3 Data Readout GLPG3667 Q4 2025,Gilead (GILD),Immunology,Incyte (INCY) AbbVie (ABBV),18 months,May 8 2025,EPS -0.35 -10% Miss Revenue 65.2M +5% Beat,Aug 6 2025 (est.),6 (B),HOLD,Belgium,Immunology focus; JYSELECA approved in EU; limited US presence
GLSI,Greenwich LifeSciences Inc.,350M,150K,1.92,3.2% - 8.5%,$12.22 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,GP2,None,None,Phase 3 Data Readout Q3 2026,None,Breast Cancer,SELLAS (SLS) Merck (MRK),15 months,May 7 2025,EPS -0.25 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),5 (B-),HOLD,USA,Breast cancer vaccine; early-stage pipeline; cash runway constrained[](https://macrotrends.net/stocks/charts/GLSI/greenwich-lifesciences/stock-price-history)
GLYC,GlycoMimetics Inc.,80M,600K,2.01,3.5% - 9%,$0.45 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Uproleselan,None,Uproleselan Fast Track 2017,Phase 3 Data Readout Q4 2025,None,Hematology,Jazz (JAZZ) Amgen (AMGN),12 months,May 8 2025,EPS -0.15 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk hematology; uproleselan pivotal data critical; limited cash runway[](https://finance.yahoo.com/quote/GLYC/)
GMAB,Genmab A/S,7.8B,500K,1.23,1.8% - 5%,$28.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Darzalex Epcoritamab,Darzalex Jun 2016 Epcoritamab May 2023,Darzalex Fast Track 2015,Phase 3 Data Readout GEN1046 Q2 2026,Janssen (JNJ) AbbVie (ABBV),Oncology,Amgen (AMGN) Regeneron (REGN),N/A,May 7 2025,EPS 0.35 +12% Beat Revenue 650.3M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,Denmark,Strong oncology portfolio; Darzalex sales robust; financially stable
GYRE,Gyre Therapeutics Inc.,200M,300K,1.76,3% - 8%,$12.80 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,ETUARY,None,None,Phase 3 Data Readout Q4 2025,None,NASH,Akero (AKRO) 89bio (ETNB),15 months,May 8 2025,EPS -0.20 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),HOLD,USA,NASH focus; early-stage pipeline; moderate cash runway
HALO,Halozyme Therapeutics Inc.,7.2B,1.1M,1.34,1.8% - 5%,$50.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,ENHANZE Technology,Multiple ENHANZE-based drugs,None,Commercial Expansion Q4 2025,Roche (RHHBY) Pfizer (PFE),Drug Delivery,Janssen (JNJ) Amgen (AMGN),N/A,May 7 2025,EPS 0.85 +15% Beat Revenue 235.4M +12% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,ENHANZE platform drives revenue; strong partnerships; financially stable
HOOK,Hookipa Pharma Inc.,80M,400K,2.01,3.5% - 9%,$0.65 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,HB-200,None,None,Phase 2 Data Readout Q3 2026,Gilead (GILD),Oncology,Moderna (MRNA) Merck (MRK),12 months,May 8 2025,EPS -0.15 -10% Miss Revenue 4.2M -5% Miss,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; Gilead partnership key
HRMY,Harmony Biosciences Holdings Inc.,2.5B,600K,1.45,2% - 6%,$38.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,WAKIX,WAKIX Aug 2019,WAKIX Fast Track 2018,Phase 3 Data Readout Pitolisant Q2 2026,None,Narcolepsy,Jazz (JAZZ) Axsome (AXSM),N/A,May 7 2025,EPS 0.45 +10% Beat Revenue 168.3M +12% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,WAKIX strong commercial performance; expanding indications; financially stable
ICPT,Intercept Pharmaceuticals Inc.,1.5B,800K,1.76,2.5% - 7%,$19.00 - 01:30 PM EDT 06/10/2025,No,Stable,Commercial,Healthcare,Biotechnology,Ocaliva,Ocaliva May 2016,Ocaliva Fast Track 2015,Phase 4 Data Readout Q4 2025,None,NASH,Madrigal (MDGL) Akero (AKRO),N/A,May 8 2025,EPS -0.25 +8% Beat Revenue 85.6M +10% Beat,Aug 6 2025 (est.),7 (B+),HOLD,USA,Ocaliva commercialized; NASH focus; stable but competitive market
IDYA,IDEAYA Biosciences Inc.,2.8B,500K,1.54,2.5% - 7%,$38.20 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Darovasertib,None,Darovasertib Fast Track 2022,Phase 3 Data Readout Q1 2026,GSK (GSK) Pfizer (PFE),Oncology,Amgen (AMGN) Blueprint (BPMC),20 months,May 7 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,Oncology focus; promising pipeline; strong partnerships
IMCR,Immunocore Holdings plc,2.1B,600K,1.87,2.8% - 7.5%,$40.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,KIMMTRAK,KIMMTRAK Jan 2022,KIMMTRAK Fast Track 2021,Phase 3 Data Readout IMC-M113V Q2 2026,None,Ocular Oncology,Aura (AURA),24 months,May 7 2025,EPS -0.45 +8% Beat Revenue 75.4M +10% Beat,Aug 5 2025 (est.),7 (B+),BUY,UK,KIMMTRAK commercial success; expanding oncology pipeline
IMMX,Immix Biopharma Inc.,80M,300K,2.10,3.5% - 9%,$2.10 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,IMX-110,None,IMX-110 Fast Track 2022,Phase 2 Data Readout Q3 2026,None,Oncology,Incyte (INCY) Merck (MRK),12 months,May 8 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),HOLD,USA,High-risk oncology; limited cash runway; early-stage pipeline
IMNM,Immunome Inc.,600M,500K,1.76,2.8% - 7.5%,$15.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,IMM-101,None,None,Phase 1 Data Readout Q4 2025,None,Oncology,Amgen (AMGN) Regeneron (REGN),18 months,May 7 2025,EPS -0.35 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),BUY,USA,Oncology focus; early-stage pipeline; stable cash position
IMVT,Immunovant Inc.,3.5B,700K,1.65,2.5% - 7%,$30.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,Batoclimab,None,Batoclimab Fast Track 2023,Phase 3 Data Readout Q1 2026,None,Immunology,Argenx (ARGX) Regeneron (REGN),24 months,May 8 2025,EPS -0.55 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Immunology focus; promising phase 3 data; stable cash position
INBX,Inhibrx Inc.,450M,400K,1.92,3% - 8%,$14.50 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,INBRX-101,None,None,Phase 2 Data Readout Q4 2025,Sanofi (SNY),Rare Diseases,Amicus (FOLD) BioMarin (BMRN),15 months,May 7 2025,EPS -0.65 -12% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Rare disease focus; early-stage pipeline; Sanofi partnership
INCY,Incyte Corporation,13.8B,1.8M,1.45,1.8% - 5%,$65.20 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,Jakafi Opzelura,Jakafi Feb 2011 Opzelura Sep 2021,Jakafi Fast Track 2010,Phase 3 Data Readout INCB54707 Q2 2026,None,Oncology Dermatology,Amgen (AMGN) Merck (MRK),N/A,May 7 2025,EPS 0.85 +12% Beat Revenue 1.0B +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Jakafi strong commercial performance; Opzelura expanding; robust pipeline
INSM,Insmed Incorporated,10.2B,1.5M,1.54,2% - 6%,$68.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Arikayce,Arikayce Sep 2018,Arikayce Fast Track 2018,Phase 3 Data Readout TPIP Q1 2026,None,Pulmonary Diseases,Vertex (VRTX) Chiesi,24 months,May 8 2025,EPS -1.15 -8% Miss Revenue 80.7M +10% Beat,Aug 6 2025 (est.),8 (A-),BUY,USA,Arikayce commercialized; TPIP data key; strong growth potential
INVA,Innoviva Inc.,2.1B,600K,1.34,1.8% - 5%,$18.50 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,Relvar Breo Ellipta,Relvar Breo Ellipta May 2013,None,Commercial Expansion Q4 2025,GSK (GSK),Respiratory,GSK (GSK) AstraZeneca (AZN),N/A,May 7 2025,EPS 0.35 +10% Beat Revenue 85.2M +8% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Respiratory focus; stable royalty revenue; financially sound
INZY,Inozyme Pharma Inc.,200M,300K,1.87,3% - 8%,$5.20 - 01:30 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,INZ-701,None,INZ-701 Fast Track 2022,Phase 3 Data Readout Q4 2025,None,Rare Diseases,Amicus (FOLD) BioMarin (BMRN),15 months,May 8 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Rare disease focus; early-stage pipeline; moderate cash runway
IOVA,Iovance Biotherapeutics Inc.,2.4B,1.9M,1.76,2.8% - 7.5%,$10.80 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Amtagvi,Amtagvi Feb 2024,Amtagvi Fast Track 2023,Phase 3 Data Readout LN-145 Q2 2026,None,Oncology,Immunocore (IMCR) Bristol Myers (BMY),24 months,May 7 2025,EPS -0.35 +8% Beat Revenue 31.2M +15% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Amtagvi recently approved; commercial ramp-up critical; stable finances
ITCI,Intra-Cellular Therapies Inc.,7.5B,700K,1.45,2% - 6%,$78.50 - 01:30 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Lumateperone,Caplyta Dec 2019,Caplyta Fast Track 2018,Phase 3 Data Readout ITI-214 Q1 2026,None,CNS Disorders,Axsome (AXSM) Jazz (JAZZ),N/A,May 7 2025,EPS -0.15 +12% Beat Revenue 144.8M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Caplyta strong commercial traction; expanding indications; financially stable
IVVD,Invivyd Inc.,150M,500K,2.01,3.5% - 9%,$1.80 - 01:30 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,INV104,None,INV104 Fast Track 2023,Phase 3 Data Readout Q3 2026,None,Antiviral Therapy,Atea (AVIR) Gilead (GILD),12 months,May 8 2025,EPS -0.25 -10% Miss Revenue 十大网赌正规网址下载 -5% Miss,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk antiviral focus; limited cash runway; early-stage pipeline
JANX,Janux Therapeutics Inc.,1.8B,600K,1.65,2.5% - 7%,$45.20 - 01:30 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,JANX007,None,None,Phase 1 Data Readout Q4 2025,None,Oncology,Amgen (AMGN) Merck (MRK),20 months,May 7 2025,EPS -0.35 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,Oncology focus; early-stage pipeline; promising data
JAZZ,Jazz Pharmaceuticals plc,6.8B,600K,1.34,1.8% - 5%,$110.20 - 01:55 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,Xyrem Xywav Epidiolex,Xyrem Jul 2002 Xywav Jul 2020 Epidiolex Jun 2018,Xywav Fast Track 2019,Phase 3 Data Readout Suvecaltamide Q4 2025,None,CNS Disorders,Harmony (HRMY) Axsome (AXSM),N/A,May 7 2025,EPS 4.25 +12% Beat Revenue 970.5M +8% Beat,Aug 5 2025 (est.),8 (A-),BUY,Ireland,Strong CNS portfolio; Xywav and Epidiolex driving growth; financially stable
JSPR,Jasper Therapeutics Inc.,150M,400K,1.92,3.2% - 8.5%,$2.80 - 01:55 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Briquilimab,None,None,Phase 2 Data Readout Q3 2026,None,Immunology,Regeneron (REGN) AnaptysBio (ANAB),12 months,May 8 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk immunology; limited cash runway; early-stage pipeline
KALV,KalVista Pharmaceuticals Inc.,350M,300K,1.76,2.8% - 7.5%,$12.50 - 01:55 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Sebetralstat,None,Sebetralstat Fast Track 2022,Phase 3 Data Readout Q4 2025,None,HAE,CSL Behring BioCryst (BCRX),15 months,May 7 2025,EPS -0.85 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,HAE focus; sebetralstat pivotal data key; moderate cash runway
KNSA,Kiniksa Pharmaceuticals Ltd.,1.5B,500K,1.65,2.5% - 7%,$22.80 - 01:55 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Abiprubart,None,None,Phase 2 Data Readout Q2 2026,None,Immunology,Argenx (ARGX) Regeneron (REGN),20 months,May 7 2025,EPS -0.15 +10% Beat Revenue 85.2M +12% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Immunology focus; commercial-stage; stable cash position
KOD,Kodiak Sciences Inc.,200M,600K,2.01,3.5% - 9%,$3.20 - 01:55 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,Tarcocimab,None,None,Phase 3 Data Readout Q4 2025,None,Ophthalmology,Regeneron (REGN) Apellis (APLS),12 months,May 8 2025,EPS -0.95 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk ophthalmology; limited cash runway; pivotal data critical
KROS,Keros Therapeutics Inc.,1.8B,400K,1.54,2.5% - 7%,$48.50 - 01:55 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Elritercept,None,None,Phase 2 Data Readout Q1 2026,None,Hematology,Geron (GERN) Amgen (AMGN),20 months,May 7 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,Hematology focus; promising pipeline; stable cash position
KURA,Kura Oncology Inc.,1.2B,600K,1.87,2.8% - 7.5%,$20.80 - 01:55 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Ziftomenib,None,Ziftomenib Fast Track 2023,Phase 2 Data Readout Q4 2025,None,Oncology,Blueprint (BPMC) Incyte (INCY),18 months,May 8 2025,EPS -0.55 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),BUY,USA,Oncology focus; ziftomenib data key; moderate cash runway
KTTA,Krystal Biotech Inc.,5.2B,300K,1.45,2% - 6%,$180.50 - 01:55 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Vyjuvek,Vyjuvek May 2023,Vyjuvek Fast Track 2022,Phase 3 Data Readout KB707 Q2 2026,None,Gene Therapy,Abeona (ABEO) 4DMT (FDMT),N/A,May 7 2025,EPS 0.25 +15% Beat Revenue 70.3M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Vyjuvek commercial success; expanding gene therapy pipeline
KYMR,Kymera Therapeutics Inc.,2.5B,500K,1.65,2.5% - 7%,$38.20 - 01:55 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,KT-474,None,None,Phase 2 Data Readout Q1 2026,Sanofi (SNY),Immunology,Regeneron (REGN) AnaptysBio (ANAB),20 months,May 7 2025,EPS -0.75 -10% Miss Revenue 10.2M -5% Miss,Aug 5 2025 (est.),7 (B+),BUY,USA,Immunology focus; Sanofi partnership; stable cash position
LEGN,Legend Biotech Corporation,8.5B,1.1M,1.54,2% - 6%,$46.50 - 01:55 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Carvykti,Carvykti Feb 2022,Carvykti Fast Track 2021,Phase 3 Data Readout LB-100 Q3 2026,Janssen (JNJ),Cell Therapy,Allogene (ALLO) Arcellx (ACLX),24 months,May 8 2025,EPS -0.35 +8% Beat Revenue 95.4M +12% Beat,Aug 6 2025 (est.),8 (A-),BUY,China,Carvykti strong commercial traction; Janssen partnership; robust pipeline[](https://datafet.com/symbol-list.txt)
LENZ,Lenz Therapeutics Inc.,350M,200K,1.92,3.2% - 8.5%,$15.80 - 01:55 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,LNZ100,None,LNZ100 Fast Track 2023,Phase 3 Data Readout Q4 2025,None,Ophthalmology,Eyenovia (EYEN) Apellis (APLS),15 months,May 7 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Ophthalmology focus; early-stage pipeline; moderate cash runway
