Ticker,Name,Market_Cap,Volume,Beta,Daily Volatility,Latest Share Price,Insiders_Buying,Institutions_Buying,Stage,Sector,Industry,Drug_Name,FDA-Approved_Drug/Drugs,FDA_Fast_Track_Designations,Catalysts_Date,Partners,Space,Competitors,Cash_Runway,Last_Earnings_Date,Last_Earnings_Result,Next_Earnings_Date,Rating,SA_Rating,Country,Comments
PTCT,PTC Therapeutics Inc.,2.5B,700K,1.54,2% - 6%,$35.80 - 02:01 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,Emflaza Upstaza,Emflaza Apr 2017 Upstaza (EU Approved 2022),Emflaza Fast Track 2016,Phase 3 Data Readout Vatiquinone Q1 2026,None,Rare Diseases,Amicus (FOLD) BioMarin (BMRN),N/A,May 7 2025,EPS -1.25 -10% Miss Revenue 175.4M +8% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Emflaza commercialized; Upstaza US approval pending; stable finances
PTGX,Protagonist Therapeutics Inc.,1.8B,500K,1.87,2.8% - 7.5%,$35.20 - 02:01 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Rusfertide,None,Rusfertide Fast Track 2023,Phase 3 Data Readout Q4 2025,Takeda (TAK),Hematology,Keros (KROS) Geron (GERN),20 months,May 8 2025,EPS -0.45 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Hematology focus; rusfertide pivotal data key; stable cash position
QURE,uniQure N.V.,350M,600K,1.92,3.2% - 8.5%,$5.50 - 02:01 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,AMT-130,None,AMT-130 Fast Track 2021,Phase 1/2 Data Readout Q3 2026,CSL Behring,Gene Therapy,Krystal (KTTA) 4DMT (FDMT),15 months,May 7 2025,EPS -1.15 -12% Miss Revenue 2.5M -5% Miss,Aug 5 2025 (est.),6 (B),HOLD,Netherlands,Gene therapy focus; AMT-130 data key; CSL partnership
RARE,Ultragenyx Pharmaceutical Inc.,4.2B,700K,1.65,2.5% - 7%,$48.50 - 02:01 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Mepsevii Crysvita Dojolvi,Mepsevii Nov 2017 Crysvita Apr 2018 Dojolvi Jun 2020,Mepsevii Fast Track 2017,Phase 3 Data Readout UX701 Q2 2026,Mereo (MREO),Rare Diseases,Amicus (FOLD) BioMarin (BMRN),N/A,May 8 2025,EPS -1.85 -8% Miss Revenue 125.3M +10% Beat,Aug 6 2025 (est.),8 (A-),BUY,USA,Strong rare disease portfolio; multiple approved drugs; financially stable
RCKT,Rocket Pharmaceuticals Inc.,1.5B,600K,1.76,2.8% - 7.5%,$20.80 - 02:01 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,RP-L201,None,RP-L201 Fast Track 2021,Phase 2 Data Readout Q1 2026,None,Gene Therapy,uniQure (QURE) Krystal (KTTA),20 months,May 7 2025,EPS -0.75 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,Gene therapy focus; RP-L201 promising; stable cash position[](https://investorshub.advfn.com/Biotech-Values-1418)
RCUS,Arcus Biosciences Inc.,1.2B,800K,1.87,3% - 8%,$15.80 - 02:01 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Etrumadenant,None,None,Phase 2 Data Readout Q4 2025,Gilead (GILD) Taiho Oncology,Oncology,Amgen (AMGN) Merck (MRK),18 months,May 8 2025,EPS -0.95 -8% Miss Revenue 45.2M +12% Beat,Aug 6 2025 (est.),6 (B),HOLD,USA,Oncology focus; Gilead partnership; moderate cash runway
REGN,Regeneron Pharmaceuticals Inc.,115B,500K,1.23,1.8% - 5%,$1050.20 - 02:01 PM EDT 06/10/2025,Yes - Large Purchase,Stable,Commercial,Healthcare,Biotechnology,Eylea Dupixent,Eylea Aug 2011 Dupixent Mar 2017,Dupixent Fast Track 2016,Phase 3 Data Readout Odronextamab Q1 2026,Sanofi (SNY) Bayer,Ophthalmology Immunology,Amgen (AMGN) Roche (RHHBY),N/A,May 7 2025,EPS 10.25 +15% Beat Revenue 3.2B +10% Beat,Aug 5 2025 (est.),9 (A),STRONG BUY,USA,Eylea and Dupixent market leaders; robust pipeline; financially stable[](https://bullishbears.com/biotech-stocks-list/)
REPL,Replimune Group Inc.,350M,700K,1.92,3.2% - 8.5%,$8.50 - 02:01 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,RP1,None,None,Phase 2 Data Readout Q4 2025,Regeneron (REGN),Oncology,IO Biotech (IOBT) PDS Biotech (PDSB),15 months,May 8 2025,EPS -0.85 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; Regeneron partnership
RGNX,REGENXBIO Inc.,600M,600K,1.76,2.8% - 7.5%,$12.80 - 02:01 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,RGX-121,None,RGX-121 Fast Track 2021,Phase 3 Data Readout Q2 2026,None,Gene Therapy,uniQure (QURE) Rocket (RCKT),18 months,May 7 2025,EPS -1.25 -8% Miss Revenue 15.3M -5% Miss,Aug 5 2025 (est.),6 (B),HOLD,USA,Gene therapy focus; RGX-121 data key; moderate cash runway
RIGL,Rigel Pharmaceuticals Inc.,200M,1.1M,2.01,3.5% - 9%,$1.20 - 02:01 PM EDT 06/10/2025,No,Decrease,Commercial,Healthcare,Biotechnology,Rezlidhia,Rezlidhia Dec 2022,Rezlidhia Fast Track 2022,Commercial Expansion Q4 2025,None,Hematology,Geron (GERN) Jazz (JAZZ),18 months,May 8 2025,EPS -0.05 +8% Beat Revenue 36.4M +10% Beat,Aug 6 2025 (est.),6 (B),HOLD,USA,Rezlidhia commercialized; niche hematology market; moderate cash runway
RLAY,Relay Therapeutics Inc.,650M,700K,1.87,3% - 8%,$8.50 - 02:01 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,RLY-2608,None,None,Phase 1 Data Readout Q4 2025,None,Oncology,Nuvalent (NUVL) Kura (KURA),15 months,May 7 2025,EPS -0.75 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate cash runway
RNA,Avidity Biosciences Inc.,2.5B,600K,1.76,2.8% - 7.5%,$38.50 - 02:01 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,AOC 1001,None,AOC 1001 Fast Track 2022,Phase 2 Data Readout Q1 2026,BMS (BMY),Rare Diseases,Amicus (FOLD) Ultragenyx (RARE),20 months,May 8 2025,EPS -0.65 -8% Miss Revenue 10.5M +5% Beat,Aug 6 2025 (est.),7 (B+),BUY,USA,Rare disease focus; AOC 1001 promising; stable cash position[](https://finance.yahoo.com/quote/RNA/)
RPRX,Royalty Pharma plc,12.5B,2.1M,1.34,1.8% - 5%,$28.50 - 02:01 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,N/A,Multiple Royalty Agreements,None,Commercial Expansion Q4 2025,Pfizer (PFE) Merck (MRK),Royalty Financing,Ligand (LGND) Halozyme (HALO),N/A,May 7 2025,EPS 0.95 +12% Beat Revenue 650.3M招待所M +8% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Strong royalty portfolio; stable revenue stream; financially sound
RVMD,Revolution Medicines Inc.,3.5B,700K,1.65,2.5% - 7%,$45.20 - 02:01 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,RMC-6236,None,None,Phase 1 Data Readout Q4 2025,None,Oncology,Kura (KURA) Nuvalent (NUVL),24 months,May 8 2025,EPS -0.85 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Oncology focus; early-stage pipeline; strong cash position[](https://investorshub.advfn.com/Biotech-Values-1418)
RXRX,Recursion Pharmaceuticals Inc.,650M,1.5M,1.92,3.2% - 8.5%,$8.80 - 02:01 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,REC-994,None,None,Phase 2 Data Readout Q3 2026,None,AI-Driven Drug Discovery,Exscientia (EXAI) Absci (ABSI),18 months,May 7 2025,EPS -0.45 -8% Miss Revenue 15.2M +5% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,AI-driven platform; early-stage pipeline; moderate cash runway
RYTM,Rhythm Pharmaceuticals Inc.,2.8B,500K,1.54,2% - 6%,$48.50 - 02:01 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Imcivree,Imcivree Nov 2020,Imcivree Fast Track 2020,Phase 3 Data Readout LB54640 Q2 2026,None,Rare Diseases,Amicus (FOLD) Ultragenyx (RARE),24 months,May 8 2025,EPS -0.75 +8% Beat Revenue 28.4M +10% Beat,Aug 6 2025 (est.),8 (A-),BUY,USA,Imcivree commercial success; expanding pipeline; stable finances
RZLT,Rezolute Inc.,200M,300K,2.01,3.5% - 9%,$3.80 - 02:01 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,RZ358,None,None,Phase 2 Data Readout Q4 2025,None,Rare Diseases,Amicus (FOLD) BioMarin (BMRN),15 months,May 7 2025,EPS -0.35 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Rare disease focus; early-stage pipeline; moderate cash runway[](https://www.biopharmcatalyst.com/news/2024/rezolute-rzlt-phase-2-data-pliant-plrx-preclinical-data)
SAGE,Sage Therapeutics Inc.,650M,800K,1.87,2.8% - 7.5%,$10.80 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,Zuranolone,Zulresso Mar 2019 Zurzuvae Aug 2023,Zuranolone Fast Track 2022,Phase 3 Data Readout SAGE-324 Q2 2026,Biogen (BIIB),CNS Disorders,Jazz (JAZZ) Axsome (AXSM),18 months,May 7 2025,EPS -1.65 -8% Miss Revenue 12.3M +5% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,Zurzuvae commercializing; CNS focus; Biogen partnership key
SANA,Sana Biotechnology Inc.,1.5B,700K,1.92,3.2% - 8.5%,$6.80 - 02:15 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,SC291,None,None,Phase 1 Data Readout Q4 2025,None,Cell Therapy,Allogene (ALLO) Lyell (LYEL),20 months,May 8 2025,EPS -0.35 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Cell therapy focus; early-stage pipeline; stable cash position
SGMO,Sangamo Therapeutics Inc.,200M,1.5M,2.01,3.5% - 9%,$0.80 - 02:15 PM EDT 06/10/2025,No,10% Decrease,Clinical,Healthcare,Biotechnology,SB-525,None,None,Phase 3 Data Readout Q4 2025,Pfizer (PFE),Gene Therapy,uniQure (QURE) Rocket (RCKT),12 months,May 6 2025,EPS -0.15 -0% Miss Revenue N/A,Aug 7 2025 (est.),5 (B-,SELL,USA),High-risk gene therapy; limited cash runway; Pfizer partnership
SLDB,Solid Biosciences Inc.,350M,400K,1.76,2.8% - 7.5%,$3.50 - 02:15 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,SGT-003,None,SGT-003 Fast Track 2024,Phase 1/2 Data Readout Q1 2025,None,Gene Therapy,Ultragenyx (RARE) Rocket (RCKT),18 months,May 8 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Gene therapy focus; early-stage pipeline; moderate cash runway
SLNO,Soleno Therapeutics Inc.,2.8B,600K,1.65,2.5% - 7%,$48.50 - 02:15 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,DCCR,None,DCCR Fast Track 2023,FDA Decision Q3 2025,None,Rare Diseases,Rhythm (RYTM) Amicus (FOLD),24 months,May 7 2025,EPS -0.25 +8% Beat Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,USA,DCCR nearing approval; rare disease focus; strong cash position[](https://finance.yahoo.com/quote/SLNO/)
SMMT,Summit Therapeutics Inc.,2.5B,1.2M,1.87,3% - 8%,$12.80 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,Ivonescimab,None,None,Phase 3 Data Readout Q2 2026,Akeso Inc.,Oncology,Amgen (AMGN) Merck (MRK),20 months,May 8 2025,EPS -0.05 -8% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Oncology focus; ivonescimab promising; Akeso partnership
SPRY,ARS Pharmaceuticals Inc.,650M,500K,1.54,2% - 6%,$10.50 - 02:15 PM EDT 06/10/2025,No,Stable,Commercial,Healthcare,Biotechnology,Neffy,Neffy Aug 2024,Neffy Fast Track 2023,Commercial Expansion Q4 2025,None,Allergy,KalVista (KALV) CSL Behring,18 months,May 7 2025,EPS -0.15 +10% Beat Revenue 5.3M +12% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Neffy recently approved; commercial ramp-up critical; stable finances
STOK,Stoke Therapeutics Inc.,600M,400K,1.85,3.2% - 8.5%,$15.20 - 02:15 PM EDT 06/10/2025,25% Increase, Yes - Moderate Purchase,Clinical,Healthcare,Biotechnology,STK-001,None,STK-001 Fast Track 2021,Phase 2 Data Readout Q1 2025,None,CNS Disorders,Sage (SAGE) Jazz (JAZZ),20 months,May 8 2025,EPS -0.55 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),BUY,USA,CNS focus; STK-001 promising; stable cash position
SYRE,Spyre Therapeutics Inc.,1.2B,300K,1.76,2.8% - 7.5%,$28.50 - 02:15 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,SPY001,None,None,Phase 1 Data Readout Q4 2025,None,Immunology,Regeneron (REGN) AnaptysBio (ANAB),18 months,May 7 2025,EPS -0.85 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Immunology focus; early-stage pipeline; moderate cash runway
TCRX,TScan Therapeutics Inc.,350M,200K,1.87,3% - 8%,$6.80 - 02:15 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,TSC-100,None,None,Phase 1 Data Readout Q3 2026,None,Cell Therapy,Lyell (LYEL) Allogene (ALLO),15 months,May 8 2025,EPS -0.35 -10% Miss Revenue 2.3M -5% Miss,Aug 6 2025 (est.),6 (B),HOLD,USA,Cell therapy focus; early-stage pipeline; moderate cash runway[](https://www.benzinga.com/general/biotech/21/09/22947673/the-daily-biotech-pulse-lilly-regeneron-ink-covid-19-drug-deal-with-us-regulatory-setback-for-cal)
TGTX,TG Therapeutics Inc.,2.8B,1.5M,1.65,2.5% - 7%,$20.50 - 02:15 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Commercial,Healthcare,Biotechnology,Briumvi,Briumvi Dec 2022,Briumvi Fast Track 2022,Commercial Expansion Q4 2025,None,Immunology,Argenx (ARGX) Regeneron (REGN),N/A,May 7 2025,EPS 0.05 +12% Beat Revenue 65.4M +10% Beat,Aug 5 2025 (est.),8 (A-),BUY,USA,Briumvi strong commercial traction; expanding indications; financially stable
THRX,Theseus Pharmaceuticals Inc.,150M,200K,1.92,3.2% - 8.5%,$4.50 - 02:15 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,THE-630,None,None,Phase 1 Data Readout Q4 2025,None,Oncology,Kura (KURA) Nuvalent (NUVL),12 months,May 8 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; early-stage pipeline
TNGX,Tango Therapeutics Inc.,350M,400K,1.76,2.8% - 7.5%,$8.50 - 02:15 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,TNG908,None,None,Phase 1 Data Readout Q3 2026,None,Oncology,Relay (RLAY) Nuvalent (NUVL),15 months,May 7 2025,EPS -0.35 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate cash runway
TRML,Tourmaline Bio Inc.,650M,300K,1.65,2.5% - 7%,$15.80 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,TOUR006,None,None,Phase 2 Data Readout Q1 2026,None,Immunology,Argenx (ARGX) Regeneron (REGN),20 months,May 8 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Immunology focus; TOUR006 promising; stable cash position
VKTX,Viking Therapeutics Inc.,5.5B,1.8M,1.54,2% - 6%,$65.20 - 02:15 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,VK2735,None,VK2735 Fast Track 2024,Phase 3 Data Readout Q1 2026,None,Obesity,Novo Nordisk (NVO) Eli Lilly (LLY),24 months,May 7 2025,EPS -0.25 -8% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),8 (A-),BUY,USA,VK2735 promising in obesity; strong cash position; high market interest
VRDN,Viridian Therapeutics Inc.,650M,500K,1.87,3% - 8%,$12.80 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Clinical,Healthcare,Biotechnology,VRDN-001,None,VRDN-001 Fast Track 2023,Phase 3 Data Readout Q4 2025,None,Immunology,Argenx (ARGX) Regeneron (REGN),18 months,May 8 2025,EPS -0.45 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),7 (B+),BUY,USA,Immunology focus; VRDN-001 pivotal data key; moderate cash runway
VRNA,Verona Pharma plc,2.2B,600K,1.65,2.5% - 7%,$28.50 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Ensifentrine,Ohtuvayre Jun 2024,Ohtuvayre Fast Track 2023,Commercial Expansion Q4 2025,None,Respiratory,Insmed (INSM) Chiesi,24 months,May 7 2025,EPS -0.35 +8% Beat Revenue 0.0M N/A,Aug 5 2025 (est.),7 (B+),BUY,UK,Ohtuvayre recently approved; commercial ramp-up critical; stable finances
VSTM,Verastem Inc.,200M,700K,2.01,3.5% - 9%,$3.20 - 02:15 PM EDT 06/10/2025,No,Stable,Clinical,Healthcare,Biotechnology,Avutometinib,None,None,Phase 2 Data Readout Q4 2025,None,Oncology,Kura (KURA) Relay (RLAY),15 months,May 8 2025,EPS -0.25 -10% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),6 (B),HOLD,USA,Oncology focus; early-stage pipeline; moderate cash runway
VYGR,Voyager Therapeutics Inc.,350M,400K,1.76,2.8% - 7.5%,$8.50 - 02:15 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,VY-TAU01,None,None,Phase 1 Data Readout Q3 2026,Neurocrine (NBIX),Neurodegenerative Diseases,Denali (DNLI) Alector (ALEC),18 months,May 7 2025,EPS -0.45 -8% Miss Revenue 12.3M +5% Beat,Aug 5 2025 (est.),6 (B),HOLD,USA,Neuro focus; early-stage pipeline; Neurocrine partnership
WVE,Wave Life Sciences Ltd.,650M,600K,1.92,3.2% - 8.5%,$8.80 - 02:15 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,WVE-006,None,WVE-006 Fast Track 2024,Phase 2 Data Readout Q1 2026,GSK (GSK),Rare Diseases,Amicus (FOLD) Ultragenyx (RARE),18 months,May 8 2025,EPS -0.25 -10% Miss Revenue 15.2M -5% Miss,Aug 6 2025 (est.),7 (B+),BUY,USA,Rare disease focus; WVE-006 promising; GSK partnership
XENE,Xenon Pharmaceuticals Inc.,2.8B,500K,1.54,2% - 6%,$45.50 - 02:11 PM EDT 06/10/2025,Yes - Large Purchase,Increase,Clinical,Healthcare,Biotechnology,Azatirionant,None,None,Phase 3 Data Readout Q4 2025,Neurocrine (NBIX),CNS Disorders,Sage (SAGE) Jazz (JAZZ),24 months,May 7 2025,EPS -0.65 -8% Miss Revenue 0.3M N/A,Aug 5 2025 (est.),7 (B+),BUY,Canada,Azatirionant pivotal data key; CNS focus; strong cash position[](https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-xene/xenon-pharmaceuticals/news/estimating-the-intrinsic-value-of-xenon-pharmaceuticals-inc)
XERS,Xeris Biopharma Holdings Inc.,350M,700K,1.87,3% - 8%,$2.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,Levoketoconazole,Keveyis Aug 2015 Gvoke Sep 2019 Recorlev Dec 2021,Keveyis Fast Track 2014,Commercial Expansion Q4 2025,None,Endocrinology,MannKind (MNKD) Corcept (CORT),N/A,May 8 2025,EPS -0.10 +10% Beat Revenue 45.3M +12% Beat,Aug 6 2025 (est.),6 (B),HOLD,USA,Multiple commercial products; stable revenue; niche endocrinology market
ZNTL,Zentalis Pharmaceuticals Inc.,350M,600K,1.92,3.2% - 8.5%,$4.80 - 02:11 PM EDT 06/10/2025,No,Increase,Clinical,Healthcare,Biotechnology,Azenosertib,None,Azenosertib Fast Track 2023,Phase 2 Data Readout Q3 2026,None,Oncology,Pfizer (PFE) Kura (KURA),15 months,May 7 2025,EPS -0.85 -10% Miss Revenue 0.0M N/A,Aug 5 2025 (est.),6 (B),HOLD,USA,Oncology focus; FDA lifted clinical hold on azenosertib; moderate cash runway[](https://finance.yahoo.com/news/biotech-stock-roundup-gild-nuvl-132100903.html?.tsrc=rss)
PMVP,PMV Pharmaceuticals Inc.,150M,400K,2.01,3.5% - 9%,$2.20 - 02:11 PM EDT 06/10/2025,No,Decrease,Clinical,Healthcare,Biotechnology,PC14586,None,None,Phase 2 Data Readout Q4 2025,None,Oncology,Kura (KURA) Relay (RLAY),12 months,May 8 2025,EPS -0.35 -12% Miss Revenue 0.0M N/A,Aug 6 2025 (est.),5 (B-),SELL,USA,High-risk oncology; limited cash runway; early-stage pipeline
XOMA,XOMA Corporation,350M,200K,1.65,2.5% - 7%,$28.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Commercial,Healthcare,Biotechnology,N/A,Multiple Royalty Agreements,None,Commercial Expansion Q4 2025,Ligand (LGND) Vir Biotechnology (VIR),Royalty Financing,Ligand (LGND) Royalty Pharma (RPRX),N/A,May 7 2025,EPS 0.15 +10% Beat Revenue 15.9M +8% Beat,Aug 5 2025 (est.),7 (B+),BUY,USA,Royalty-based model; stable revenue; Q1 2025 revenue beat expectations[](https://simplywall.st/stocks/us/pharmaceuticals-biotech/nasdaq-xoma/xoma-royalty/news/xoma-royalty-first-quarter-2025-earnings-beats-expectations)
ZVRA,Zevra Therapeutics Inc.,200M,700K,2.01,3.5% - 9%,$8.50 - 02:11 PM EDT 06/10/2025,No,Increase,Commercial,Healthcare,Biotechnology,Azstarys,Azstarys Mar 2021,Azstarys Fast Track 2020,Commercial Expansion Q4 2025,None,CNS Disorders,Jazz (JAZZ) Axsome (AXSM),N/A,May 8 2025,EPS -0.15 +8% Beat Revenue 12.5M +10% Beat,Aug 6 2025 (est.),6 (B),HOLD,USA,Azstarys commercialized; niche CNS market; stable finances
ZBIO,Zenas BioPharma Inc.,650M,300K,1.76,2.8% - 7.5%,$18.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Stable,Clinical,Healthcare,Biotechnology,Obexelimab,None,Obexelimab Fast Track 2023,Phase 3 Data Readout Q2 2025,None,Immunology,Argenx (ARGX) Regeneron (REGN),18 months,May 6 2025,EPS -0.65 -10% Miss Revenue 0.0M N/A,Aug 7 2025 (est.),6 (B),HOLD,USA,Immunology focus; obexelimab promising; phase 3 data expected soon[](https://seekingalpha.com/article/4773527-zenas-differentiated-b-cell-targeting-drug-with-q3-of-2025-catalyst)
ZYME,Zymeworks Inc.,1.2B,600K,1.65,2.5% - 7%,$12.50 - 02:11 PM EDT 06/10/2025,Yes - Moderate Purchase,Increase,Commercial,Healthcare,Biotechnology,Zanidatamab,None,Zanidatamab Fast Track 2023,Phase 3 Data Readout Q4 2025,Jazz (JAZZ) GSK (GSK),Oncology,Amgen (AMGN) Merck (MRK),24 months,May 7 2025,EPS -0.45 -8% Miss Revenue 15.3M +5% Beat,Aug 5 2025 (est.),7 (B+),BUY,Canada,Oncology focus; zanidatamab pivotal data key; strong partnerships